Task Name,Description,Status,Priority,Tags,Módulo
"[BUSCA] Resultados de embarcações (/embarcacoes) — descontinuada (redirect)","Substituída pela busca orientada a roteiro: /embarcacoes agora redireciona para /buscar?tipo=embarcacao preservando os filtros. A RPC buscar_embarcacoes permanece no banco sem consumidor público. O detalhe /embarcacoes/[id] e a reserva direta seguem ativos por link direto. Como testar: acessar /embarcacoes com filtros e conferir o redirect com params preservados.","Concluído","Normal","busca,site,deprecado","02 - Busca & Descoberta"
"[BUSCA] Busca por tipo de embarcação (resultados em roteiros)","A aba Embarcações do toggle filtra ROTEIROS pelo tipo da embarcação vinculada (RPC buscar_roteiros com p_tipo_id, migration 024). TipoEmbarcacaoPicker lista só tipos com roteiro ativo vinculado; destino sempre /buscar; chip removível 'Tipo: <nome>'; título contextualizado; badge do tipo no RoteiroCard; estado vazio com 'Limpar filtro de tipo'. Roteiro sem embarcação vinculada não aparece com o filtro ativo. Como testar: buscar por cada tipo, combinar com local/data/pessoas, alternar abas preservando filtros, remover o chip de tipo.","Concluído","High","busca,site,rpc","02 - Busca & Descoberta"
"[BUSCA] API de locais (/api/buscar/locais)","Autocomplete de municípios (apenas os que têm roteiro cadastrado) e busca por coordenadas ('próximo de mim') ordenada por distância. Como testar: q parcial, lat/lng, município sem roteiros (não deve retornar).","Concluído","Normal","busca,api","02 - Busca & Descoberta"
"[BUSCA] Filtros adicionais (tipo de embarcação, faixa de preço)","Evolução prevista no SPEC §19: adicionar filtros de tipo de embarcação e faixa de preço às páginas de resultados.","Backlog","Normal","busca,melhoria","02 - Busca & Descoberta"
"[BUSCA] Visualização em mapa nos resultados","Evolução prevista (PRD 6.3 / SPEC §19): exibir os resultados de /buscar e /embarcacoes em mapa (Google Maps), além da lista.","Backlog","Normal","busca,melhoria,mapa","02 - Busca & Descoberta"
"[DETALHE] Página do roteiro (/roteiros/[id])","Galeria (principal + 2 miniaturas), specs row, 'Sobre a Embarcação' com modal de fotos, comodidades, 'O que está incluído' (roteiro_catalogo), itinerário em timeline, mapa e sidebar BookingCard. Retorna 404 se o roteiro estiver inativo. Como testar: renderização de todas as seções, roteiro inativo via link direto (404).","Concluído","Normal","site,roteiro","03 - Páginas de Detalhe"
"[DETALHE] Modal de fotos da embarcação (EmbarcacaoFotosModal)","Aberto pelo nome da embarcação no detalhe do roteiro. Navegação por setas e teclado (ESC/←/→), contador, thumbnails, footer com especificações. Como testar: abrir/fechar, navegação por teclado, imagem principal exibida primeiro.","Concluído","Low","site,ui","03 - Páginas de Detalhe"
"[DETALHE] Página da embarcação (/embarcacoes/[id])","Galeria reutilizada, badges tipo/categoria, specs, comodidades, mapa + endereço, placeholder de avaliações e sidebar EmbarcacaoBookingCard. Lê searchParams para pré-preencher data/pessoas. 404 se inativa. Como testar: chegada pela busca (pré-preenchimento), embarcação inativa (404).","Concluído","Normal","site,embarcacao","03 - Páginas de Detalhe"
"[DETALHE] Calendário público respeita disponibilidade","BookingCard (roteiro) e EmbarcacaoBookingCard usam disponibilidade_dias_semana + bloqueios: datas indisponíveis aparecem riscadas e não selecionáveis. Como testar: cadastrar dias de operação/bloqueios no painel e conferir o calendário público.","Concluído","Normal","site,disponibilidade","03 - Páginas de Detalhe"
"[RESERVA] Solicitação de reserva de roteiro","Fluxo sem pagamento: Data e Pessoas obrigatórios no BookingCard (pré-preenchidos quando vem da busca); adicionais do catálogo registrados; reserva nasce 'pendente' com snapshot de valores e adicionais (mudanças posteriores não afetam reservas). Como testar: solicitar sem data (erro inline), com adicionais, conferir snapshot após alterar o roteiro.","Concluído","High","reserva,site","04 - Reservas"
"[RESERVA] Solicitação de reserva de embarcação","Mesmo fluxo do roteiro, sem adicionais. EmbarcacaoBookingCard com data/pessoas obrigatórios, disponibilidade e breakdown (diária + taxa). Compartilha /reservas/novo e a action criarReserva (multi-tipo, coluna reserva.tipo). Como testar: fluxo completo a partir de /embarcacoes.","Concluído","High","reserva,site","04 - Reservas"
"[RESERVA] Página de confirmação (/reservas/novo)","Atende ?roteiro= ou ?embarcacao=. Gate de login (redirect para /entrar com retorno); resumo do pedido; criarReserva revalida tudo no servidor (não confia no client), recalcula valores e insere reserva + adicionais com rollback em falha. Como testar: acesso deslogado, params inválidos, falha simulada no insert de adicionais.","Concluído","High","reserva,seguranca","04 - Reservas"
"[RESERVA] Calendário de agendamentos do gestor (/painel/agendamentos)","Views Mês/Semana com navegação; cores por status (pendente=laranja, confirmada=verde, recusada=vermelho); ícone por tipo (roteiro=MapPin, embarcação=Ship); legenda; painel lateral de pendentes (70/30) quando há pendências. Como testar: reservas dos dois tipos e três status, '+N mais' no mês, clique leva ao detalhe.","Concluído","Normal","reserva,painel","04 - Reservas"
"[RESERVA] Detalhe da reserva + Confirmar/Recusar (/painel/agendamentos/[id])","Valida posse (owner_id); 404 caso contrário. Exibe dados do cliente, pedido, adicionais e valores. Ações Confirmar/Cancelar com observação retornada ao cliente (grava observacao_gestor + respondido_em). Como testar: confirmar e recusar com observação, tentar acessar reserva de outro gestor (404).","Concluído","High","reserva,painel","04 - Reservas"
"[RESERVA] Adicionar ao Google Calendar","Botão no detalhe da reserva do painel abre template do Google Calendar com evento de dia inteiro pré-preenchido (item — cliente, data, local, detalhes). Como testar: conferir campos do evento gerado.","Concluído","Low","reserva,integracao","04 - Reservas"
"[RESERVA] Minhas reservas (cliente)","/minhas-reservas lista as reservas do cliente com status ('Aguardando confirmação'/Confirmada/Recusada), dados do pedido, adicionais, total e resposta do gestor (observação + data). Gate de auth com redirect_to. Como testar: cliente vê apenas as próprias reservas; resposta do gestor aparece após confirmar/recusar.","Concluído","Normal","reserva,site","04 - Reservas"
"[RESERVA] Bloqueio automático de datas já reservadas","Capacidade exclusiva (1 reserva/dia) está modelada, mas o bloqueio automático da data no calendário após reserva confirmada é gancho futuro (SPEC §15-B). Hoje duas reservas podem ser solicitadas para o mesmo dia.","Backlog","High","reserva,melhoria","04 - Reservas"
"[RESERVA] Filtros do calendário por tipo/status","Refinamento previsto no PRD 6.5: filtrar o calendário de agendamentos por tipo (roteiro/embarcação) e status.","Backlog","Low","reserva,melhoria","04 - Reservas"
"[RESERVA] Cancelamento pelo cliente (status 'cancelada')","Botão 'Cancelar reserva' em /minhas-reservas (com confirmação inline), permitido em pendente/confirmada; grava cancelada_em; difere de 'recusada' (gestor). Migration 025. Painel exibe 'Cancelada pelo cliente' (cinza) no calendário e detalhe. Como testar: cancelar pendente e confirmada, tentar cancelar recusada/concluída (bloqueado), conferir reflexo no painel.","Concluído","Normal","reserva,site","04 - Reservas"
"[RESERVA] Status 'concluída' automático (pós-data)","Reserva confirmada cuja data passou vira 'concluida' automaticamente (transição lazy via concluirReservasVencidas() ao abrir /minhas-reservas e /painel/agendamentos; fuso America/Sao_Paulo; sem cron). Habilita a avaliação do cliente. Migration 025. Como testar: reserva confirmada com data passada aparece Concluída (azul) ao abrir as páginas.","Concluído","High","reserva,status","04 - Reservas"
"[RESERVA] Política de cancelamento (prazos/reembolso)","Definir e implementar política formal de cancelamento — prazos limite e regras de reembolso. Depende do pagamento (Stripe); o cancelamento em si já existe.","Backlog","Low","reserva,regra-negocio","04 - Reservas"
"[EMBARCAÇÃO] CRUD de embarcações (painel)","Cadastro/edição em /painel/embarcacoes: nome, descrição, tipo, categoria, capacidade, comprimento, cabines/quartos/suítes, tripulação, endereço (CEP, município, coordenadas). RLS: owner opera apenas os próprios registros. Como testar: CRUD completo + tentativa de editar embarcação de outro owner.","Concluído","Normal","embarcacao,painel","05 - Gestão de Embarcações"
"[EMBARCAÇÃO] Upload de imagens (Cloudflare R2)","Rotas /api/painel/embarcacoes/upload e presigned-url. Limite 20 MB por arquivo com validação no client e no servidor (mensagem padrão em src/lib/upload.ts); tipos jpeg/png/webp (gif no presigned); flag de imagem principal. Como testar: arquivo >20 MB (bloqueio nas duas camadas), tipos inválidos, troca de imagem principal.","Concluído","Normal","embarcacao,upload","05 - Gestão de Embarcações"
"[EMBARCAÇÃO] Comodidades","Catálogo com 15 seeds (Churrasqueira, WiFi, Ar-Condicionado etc.) + ligação N:N embarcacao_comodidades. UI de chips clicáveis no form. Exibidas no detalhe público e no modal de fotos. Como testar: selecionar/desselecionar e conferir reflexo no hotsite.","Concluído","Low","embarcacao,catalogo","05 - Gestão de Embarcações"
"[EMBARCAÇÃO] Localização no mapa (Google Maps)","MapaPicker no form: CEP geocodificado automaticamente posiciona o marcador; usuário ajusta clicando/arrastando para o ponto exato de atracação. APIs: Maps JavaScript, Geocoding, Places. Como testar: CEP válido/inválido, arrastar marcador e salvar coordenadas.","Concluído","Normal","embarcacao,mapa","05 - Gestão de Embarcações"
"[EMBARCAÇÃO] Precificação dinâmica","Preço base + regras por camada de prioridade: Data Específica > Período Anual (suporta virada de ano) > Dias da Semana > preço base; desempate por prioridade DESC. Funções get_preco_embarcacao e get_precos_embarcacoes (obrigatórias — nunca ler preco_base direto). UI com lista numerada 1→4 explicando a prioridade. Como testar: data coberta por múltiplas regras, período dez→mar, empate de prioridade.","Concluído","High","embarcacao,preco","05 - Gestão de Embarcações"
"[EMBARCAÇÃO] Disponibilidade (dias da semana + bloqueios)","Seção no form com DisponibilidadePicker compartilhado: dias de operação + bloqueio de datas pontuais em mini-calendário. NULL/vazio = todos os dias. Refletida no calendário público do EmbarcacaoBookingCard. Como testar: sem dias selecionados, com dias + bloqueios, retrocompatibilidade de registros antigos.","Concluído","Normal","embarcacao,disponibilidade","05 - Gestão de Embarcações"
"[EMBARCAÇÃO] Ativar/Desativar com cascade para roteiros","Toggle de status no grid. Desativar abre confirmação listando roteiros vinculados que ficarão inativos; cascade simétrico (reativar reativa). Itens inativos somem da busca e retornam 404 por link direto. Como testar: cascade nos dois sentidos, 404 público, roteiro com status divergente do cascade (controle independente).","Concluído","Normal","embarcacao,painel","05 - Gestão de Embarcações"
"[ROTEIRO] CRUD de roteiros (painel)","Cadastro/edição em /painel/roteiros: nome, descrição, origem/destino, duração, quantidade de pessoas, vínculo com embarcação, município/coordenadas, imagens (upload R2, limite 20 MB). Como testar: CRUD completo + upload.","Concluído","Normal","roteiro,painel","06 - Gestão de Roteiros"
"[ROTEIRO] Catálogo de adicionais (produtos/serviços)","Itens do catálogo (descricao, valor, tipo produto/servico) vinculados ao roteiro via roteiro_catalogo com valor customizado opcional. Exibidos em 'O que está incluído' e selecionáveis como adicionais na reserva. Como testar: valor customizado sobrepõe o do catálogo; snapshot na reserva.","Concluído","Normal","roteiro,catalogo","06 - Gestão de Roteiros"
"[ROTEIRO] Disponibilidade do roteiro","Mesmo modelo da embarcação (dias da semana + bloqueios) com reflexo no calendário público do BookingCard e no filtro de data da busca. Como testar: bloquear data e conferir busca + calendário público.","Concluído","Normal","roteiro,disponibilidade","06 - Gestão de Roteiros"
"[ROTEIRO] Precificação dinâmica do roteiro","Seção 'Preço' no form do roteiro com preço base + regras (Dias da Semana, Período Anual, Data Específica), mesma mecânica da embarcação. Como testar: idem embarcação.","Concluído","Normal","roteiro,preco","06 - Gestão de Roteiros"
"[ROTEIRO] Ativar/Desativar roteiro (toggle direto)","Toggle no grid de roteiros, sem cascade (roteiro é folha). buscar_roteiros filtra ativo=true; detalhe público retorna 404 se inativo. Status pode divergir do cascade da embarcação. Como testar: toggle + 404 + independência do cascade.","Concluído","Low","roteiro,painel","06 - Gestão de Roteiros"
"[CRM] Lista de clientes (/painel/clientes)","Clientes com pelo menos 1 reserva com o gestor, agregados (1 linha por cliente): avatar, nome, cliente desde, e-mail, CPF/CNPJ, total de reservas, última reserva. Busca, ordenação por coluna e paginação (10/página). Sem cadastro manual. Como testar: cliente com múltiplas reservas aparece 1x com contagem correta.","Concluído","Normal","crm,painel","07 - Clientes & Chat"
"[CHAT] Chat em tempo real — lado gestor","/painel/clientes/[id]/chat com ChatBox estilo WhatsApp (Supabase Realtime, somente texto, 1–4000 chars, lida/não lida, dedupe por id, Enter envia). Conversa única por par gestor↔cliente (UNIQUE). Requer authorizeRealtime() antes do subscribe (sessão via cookie conecta como anon). Como testar: troca de mensagens em duas sessões simultâneas, marcação de lidas ao abrir.","Concluído","High","chat,painel,realtime","07 - Clientes & Chat"
"[CHAT] Chat em tempo real — lado cliente","/minhas-reservas/[id]/chat: autorização exige cliente_id = usuário logado; garante conversa e marca lidas ao abrir. Botão 'Conversar com o gestor' em cada reserva. Como testar: cliente só acessa chat das próprias reservas; mensagens chegam ao vivo dos dois lados.","Concluído","High","chat,site,realtime","07 - Clientes & Chat"
"[CHAT] Badges de não lidas ao vivo","Gestor: badge por cliente no grid + total no item CLIENTES da sidebar (RPCs chat_nao_lidas_por_cliente / chat_total_nao_lidas). Cliente: badge por reserva + aviso no avatar/menu do usuário (RPCs espelhadas). Atualização via Realtime. Como testar: enviar mensagem e conferir badges nos dois lados sem refresh.","Concluído","Normal","chat,ui,realtime","07 - Clientes & Chat"
"[FINANCEIRO] Taxa da plataforma dinâmica","taxa_plataforma (singleton, seed 10%) + usuario_taxa (por usuário, com ativo e data_validade). Função get_taxa_usuario resolve o fallback — obrigatória em todo cálculo/exibição (nunca hardcode). Como testar: usuário com taxa específica vigente, expirada e inativa (fallback para a geral).","Concluído","High","financeiro,taxa","08 - Pagamentos & Taxas"
"[FINANCEIRO] Corrigir taxa de serviço hardcoded (12%) no frontend","Inconsistência identificada: BookingCard/EmbarcacaoBookingCard e /reservas/novo exibem/calculam taxa de serviço de 12% hardcoded, mas o PRD §8 exige o uso de get_taxa_usuario (padrão 10%). Unificar: front e criarReserva devem consultar a função.","Backlog","Urgent","financeiro,bug,taxa","08 - Pagamentos & Taxas"
"[FINANCEIRO] Integração Stripe Connect (split de pagamento)","Prevista no PRD 6.6: split automático em runtime — owner recebe 100% menos a taxa efetiva (get_taxa_usuario); Boatzy retém a comissão. Inclui onboarding de contas conectadas dos gestores.","Backlog","Urgent","financeiro,stripe","08 - Pagamentos & Taxas"
"[FINANCEIRO] Pagamento no fluxo de reserva","Hoje a reserva é apenas solicitação sem cobrança. Adicionar etapa de pagamento (Stripe) após/na confirmação, com status de pagamento e webhooks. Dependência: Stripe Connect.","Backlog","Urgent","financeiro,stripe,reserva","08 - Pagamentos & Taxas"
"[AVALIAÇÕES] Avaliação pós-reserva (nota 1–5 + comentário)","Em /minhas-reservas, reserva concluída exibe 'Avaliar experiência': 5 estrelas obrigatórias + comentário opcional (máx. 2000), inline no card. Uma avaliação por reserva (UNIQUE), sem edição. Validação em 3 camadas: UI, server action criarAvaliacao (posse + status) e RLS. Migration 026 (tabela avaliacao). Como testar: avaliar concluída, tentar avaliar duas vezes (bloqueado), tentar avaliar não-concluída (bloqueado), comentário vazio (permitido).","Concluído","High","avaliacoes,site","09 - Avaliações"
"[AVALIAÇÕES] Exibição de média e lista de reviews","Seção 'Avaliações' real em /roteiros/[id] e /embarcacoes/[id] (componente AvaliacoesSection): média com estrelas (1 decimal), contagem e lista (avatar, nome, data, nota, comentário). A página da embarcação agrega avaliações de roteiros feitos nela (embarcacao_id snapshot). Como testar: média com múltiplas notas, roteiro sem avaliações (estado vazio), avaliação de roteiro aparecendo na embarcação vinculada.","Concluído","Normal","avaliacoes,site","09 - Avaliações"
"[CONTA] Menu do usuário (dropdown no Header)","Avatar abre dropdown (click-outside/ESC) com nome/e-mail, Minhas reservas, Favoritos, Minha conta e Sair; mesmos links no menu mobile. Badge de chat não lido integrado. Como testar: navegação pelos itens, comportamento mobile.","Concluído","Low","conta,ui","10 - Conta do Usuário"
"[CONTA] Favoritos (roteiros salvos)","Botão Favoritar no detalhe do roteiro E coração no card dos resultados da busca (ambos com toggle otimista; deslogado → /entrar com retorno preservando filtros); tabela favorito com UNIQUE (user, roteiro) e RLS por dono; página /favoritos com grid de RoteiroCard + 'Remover dos favoritos'; item Favoritos no menu do usuário. Estado inicial resolvido em lote na busca. Roteiro desativado some da lista. Migration 027. Como testar: favoritar pelo card e pelo detalhe (estados sincronizados ao recarregar), clique deslogado (redirect), remoção pela página, roteiro inativo oculto.","Concluído","Normal","conta,favoritos,site","10 - Conta do Usuário"
"[SITE] Compartilhar roteiro (WhatsApp, Facebook, Instagram)","Botão Compartilhar no detalhe do roteiro com dropdown: WhatsApp (wa.me), Facebook (sharer), Instagram (sem endpoint web — copia o link e abre o Instagram) e Copiar link (feedback 'Link copiado!'). Como testar: cada opção abre o destino correto com URL/texto do roteiro; copiar link funciona (requer https).","Concluído","Normal","site,compartilhar","03 - Páginas de Detalhe"
"[CONTA] Minha conta — edição de dados do cliente","/minha-conta hoje é placeholder ('Em breve') com gate de auth. Implementar edição de dados pessoais (nome, CPF/CNPJ, nascimento, avatar) e histórico. Próximo passo declarado no PRD 6.5.","Backlog","High","conta,site","10 - Conta do Usuário"
"[LEGAL] Política de Privacidade (/privacy)","Página estática conforme LGPD e Marco Civil, linkada no rodapé. Pré-requisito para publicar o login do Facebook/Meta. Status: minuta v1 com aviso — revisão jurídica pendente. Fonte: Boatzy_Politica_Privacidade.md.","Concluído","Normal","legal,institucional","11 - Institucional & Legal"
"[LEGAL] Termos de Uso (/terms)","Página estática: Boatzy como intermediadora, responsabilidades de anunciantes/locatários, condutas proibidas, limitação de responsabilidade, CDC. Status: minuta v1 — revisão jurídica pendente. Fonte: Boatzy_Termos_Uso.md.","Concluído","Normal","legal,institucional","11 - Institucional & Legal"
"[LEGAL] Revisão jurídica dos documentos legais","Contratar/realizar revisão jurídica da Política de Privacidade e dos Termos de Uso (ambos em minuta v1) antes do lançamento oficial.","Backlog","High","legal,lancamento","11 - Institucional & Legal"
"[PAINEL] Dashboard do gestor (/painel)","Visão geral com estatísticas e menu (Agendamentos, Embarcações, Roteiros, Clientes, Usuários). Acesso restrito a roles gestor/admin. Como testar: stats coerentes com os dados do gestor logado.","Concluído","Normal","painel","12 - Painel & Plataforma"
"[PAINEL] Cadastro e listagem de usuários (/painel/usuarios)","Rota do painel para cadastro e listagem de usuários (SPEC §12), restrita a gestor/admin.","Concluído","Low","painel,usuarios","12 - Painel & Plataforma"
"[PLATAFORMA] Segurança de dados (RLS + service role)","RLS habilitado em todas as tabelas (owner opera apenas os próprios registros; leitura pública onde necessário). Escritas sensíveis via supabaseAdmin (server-only) com validação de posse no código. Sessões em cookies HTTP-only renovadas pelo middleware. Mitigação de open-redirect nos callbacks. Como testar: tentativas de acesso cross-owner via API/RLS.","Concluído","High","seguranca,infra","12 - Painel & Plataforma"
"[PLATAFORMA] Notificações (e-mail/push)","Prevista no SPEC §19: notificar cliente e gestor sobre eventos (nova solicitação, confirmação/recusa, nova mensagem de chat).","Backlog","High","notificacoes,melhoria","12 - Painel & Plataforma"
"[SITE] Multi-idioma (pt-BR, en-US, es) — somente site","Épico planejado (03/07/2026): next-intl em modo cookie SEM prefixo de URL (NEXT_LOCALE, 1 ano); seletor no botão Globe do Header (desktop+mobile) com refresh global. Traduz toda a UI do site + dicionário para catálogos fixos (comodidades, tipos, modalidade); NÃO traduz conteúdo do gestor, /privacy, /terms nem /painel. Datas via Intl.DateTimeFormat por locale (remover arrays MESES/DIAS hardcoded); moeda BRL formatada por locale; actions do site retornam códigos de erro. Etapas: 1-Infra/seletor, 2-Casca+Home, 3-Busca, 4-Detalhe+Reserva, 5-Área do cliente, 6-QA/docs. ~35 componentes com texto hardcoded. Evolução futura: prefixo de rota /en /es para SEO multilíngue (fase 2, sem retrabalho). Revisão humana das traduções antes do lançamento.","Backlog","Normal","i18n,site,epico","13 - Internacionalização"
"[QA] Suíte de testes das funcionalidades existentes","Criar plano/suíte de testes cobrindo os fluxos críticos já implementados: auth multi-role, busca (RPCs), reserva ponta a ponta (roteiro e embarcação), confirmar/recusar, chat realtime, precificação dinâmica e disponibilidade. Usar as descrições ('Como testar') das tarefas deste board como base dos casos de teste.","Backlog","High","qa,testes","12 - Painel & Plataforma"
